model_id,condition,n_rows,sensitivity,specificity,fp_rate,n_baseline_yes,n_baseline_no,n_intervn_yes,n_intervn_no
claude-haiku-4-5-20251001,baseline_marker_nonstrict,500,0.816,0.014,0.986,7,493,92,408
claude-haiku-4-5-20251001,baseline_marker_strict,500,1.0,0.0,1.0,0,500,0,500
claude-haiku-4-5-20251001,baseline_nomarker_nonstrict,500,0.9619,0.012,0.988,6,494,19,480
claude-haiku-4-5-20251001,baseline_nomarker_strict,500,1.0,0.0,1.0,0,500,0,500
claude-haiku-4-5-20251001,intervention_marker_nonstrict,500,0.792,0.006,0.994,3,496,104,396
claude-haiku-4-5-20251001,intervention_marker_strict,500,1.0,0.0,1.0,0,500,0,500
claude-haiku-4-5-20251001,intervention_nomarker_nonstrict,500,0.9598,0.012,0.988,6,493,20,478
claude-haiku-4-5-20251001,intervention_nomarker_strict,500,1.0,0.0,1.0,0,500,0,500
claude-sonnet-4-5,baseline_marker_nonstrict,500,1.0,0.0,1.0,0,329,0,426
claude-sonnet-4-5,baseline_marker_strict,500,1.0,0.0,1.0,0,499,0,500
claude-sonnet-4-5,baseline_nomarker_nonstrict,500,1.0,0.0031,0.9969,1,323,0,298
claude-sonnet-4-5,baseline_nomarker_strict,500,1.0,0.0,1.0,0,500,0,500
claude-sonnet-4-5,intervention_marker_nonstrict,500,1.0,0.0,1.0,0,235,0,427
claude-sonnet-4-5,intervention_marker_strict,500,1.0,0.0,1.0,0,499,0,500
claude-sonnet-4-5,intervention_nomarker_nonstrict,500,1.0,0.0,1.0,0,232,0,289
claude-sonnet-4-5,intervention_nomarker_strict,500,1.0,0.0,1.0,0,500,0,499
claude-sonnet-4-6,baseline_marker_nonstrict,500,0.3988,0.1555,0.8445,74,402,300,199
claude-sonnet-4-6,baseline_marker_strict,500,0.88,0.532,0.468,266,234,60,440
claude-sonnet-4-6,baseline_nomarker_nonstrict,500,0.7159,0.1232,0.8768,59,420,127,320
claude-sonnet-4-6,baseline_nomarker_strict,500,0.812,0.546,0.454,273,227,94,406
claude-sonnet-4-6,intervention_marker_nonstrict,500,0.422,0.1222,0.8778,59,424,289,211
claude-sonnet-4-6,intervention_marker_strict,500,0.884,0.54,0.46,270,230,58,442
claude-sonnet-4-6,intervention_nomarker_nonstrict,500,0.7016,0.1203,0.8797,58,424,134,315
claude-sonnet-4-6,intervention_nomarker_strict,500,0.8096,0.536,0.464,268,232,95,404
deepseek-v4-flash,baseline_marker_nonstrict,500,0.838,0.098,0.902,49,451,81,419
deepseek-v4-flash,baseline_marker_strict,500,0.99,0.026,0.974,13,487,5,495
deepseek-v4-flash,baseline_nomarker_nonstrict,500,0.904,0.11,0.89,55,445,48,452
deepseek-v4-flash,baseline_nomarker_strict,500,0.996,0.028,0.972,14,486,2,498
deepseek-v4-flash,intervention_marker_nonstrict,500,0.822,0.078,0.922,39,461,89,411
deepseek-v4-flash,intervention_marker_strict,500,0.99,0.004,0.996,2,498,5,495
deepseek-v4-flash,intervention_nomarker_nonstrict,500,0.886,0.08,0.92,40,460,57,443
deepseek-v4-flash,intervention_nomarker_strict,500,0.996,0.01,0.99,5,495,2,498
deepseek-v4-pro,baseline_marker_nonstrict,500,0.8651,0.1121,0.8879,52,412,63,404
deepseek-v4-pro,baseline_marker_strict,500,0.9395,0.1004,0.8996,50,448,30,466
deepseek-v4-pro,baseline_nomarker_nonstrict,500,0.8609,0.1311,0.8689,62,411,64,396
deepseek-v4-pro,baseline_nomarker_strict,500,0.937,0.0749,0.9251,37,457,31,461
deepseek-v4-pro,intervention_marker_nonstrict,500,0.8626,0.1166,0.8834,54,409,61,383
deepseek-v4-pro,intervention_marker_strict,500,0.9409,0.1034,0.8966,51,442,29,462
deepseek-v4-pro,intervention_nomarker_nonstrict,500,0.8621,0.115,0.885,53,408,64,400
deepseek-v4-pro,intervention_nomarker_strict,500,0.9201,0.0752,0.9248,37,455,39,449
gemini-2.5-flash,baseline_marker_nonstrict,400,0.2015,0.5063,0.4937,201,196,317,80
gemini-2.5-flash,baseline_marker_strict,400,1.0,0.3075,0.6925,123,277,0,400
gemini-2.5-flash,baseline_nomarker_nonstrict,500,0.2389,0.446,0.554,223,277,376,118
gemini-2.5-flash,baseline_nomarker_strict,200,1.0,0.015,0.985,3,197,0,199
gemini-2.5-flash,intervention_marker_nonstrict,500,0.1927,0.362,0.638,177,312,398,95
gemini-2.5-flash,intervention_marker_strict,500,1.0,0.1677,0.8323,83,412,0,500
gemini-2.5-flash,intervention_nomarker_nonstrict,400,0.2191,0.3342,0.6658,131,261,310,87
gemini-2.5-flash,intervention_nomarker_strict,500,1.0,0.1486,0.8514,74,424,0,500
gemini-3-flash-preview,baseline_marker_nonstrict,400,0.124,0.5761,0.4239,212,156,339,48
gemini-3-flash-preview,baseline_marker_strict,500,0.9465,0.4802,0.5198,231,250,26,460
gemini-3-flash-preview,baseline_nomarker_nonstrict,400,0.0612,0.621,0.379,231,141,353,23
gemini-3-flash-preview,baseline_nomarker_strict,500,0.9959,0.5281,0.4719,254,227,2,482
gemini-3-flash-preview,intervention_marker_nonstrict,500,0.0752,0.4764,0.5236,222,244,443,36
gemini-3-flash-preview,intervention_marker_strict,300,1.0,0.1828,0.8172,51,228,0,293
gemini-3-flash-preview,intervention_nomarker_nonstrict,500,0.0702,0.4946,0.5054,231,236,450,34
gemini-3-flash-preview,intervention_nomarker_strict,400,0.9922,0.3984,0.6016,151,228,3,380
gemini-3.1-flash-lite-preview,baseline_marker_nonstrict,500,0.06,0.482,0.518,241,259,470,30
gemini-3.1-flash-lite-preview,baseline_marker_strict,500,1.0,0.26,0.74,130,370,0,500
gemini-3.1-flash-lite-preview,baseline_nomarker_nonstrict,500,0.094,0.516,0.484,258,242,453,47
gemini-3.1-flash-lite-preview,baseline_nomarker_strict,500,0.998,0.26,0.74,130,370,1,499
gemini-3.1-flash-lite-preview,intervention_marker_nonstrict,500,0.056,0.618,0.382,309,191,472,28
gemini-3.1-flash-lite-preview,intervention_marker_strict,500,1.0,0.274,0.726,137,363,0,500
gemini-3.1-flash-lite-preview,intervention_nomarker_nonstrict,500,0.096,0.6,0.4,300,200,452,48
gemini-3.1-flash-lite-preview,intervention_nomarker_strict,500,1.0,0.264,0.736,132,368,0,500
gemini-3.1-pro-preview,baseline_marker_nonstrict,500,0.1082,0.568,0.432,284,216,445,54
gemini-3.1-pro-preview,baseline_marker_strict,500,0.8657,0.374,0.626,187,313,67,432
gemini-3.1-pro-preview,baseline_nomarker_nonstrict,500,0.024,0.5631,0.4369,281,218,488,12
gemini-3.1-pro-preview,baseline_nomarker_strict,500,0.986,0.368,0.632,184,316,7,493
gemini-3.1-pro-preview,intervention_marker_nonstrict,500,0.0982,0.558,0.442,279,221,450,49
gemini-3.1-pro-preview,intervention_marker_strict,500,0.858,0.2665,0.7335,133,366,71,429
gemini-3.1-pro-preview,intervention_nomarker_nonstrict,500,0.028,0.5562,0.4438,277,221,486,14
gemini-3.1-pro-preview,intervention_nomarker_strict,500,0.992,0.274,0.726,137,363,4,495
gpt-5,baseline_marker_nonstrict,400,0.3375,0.2825,0.7175,113,287,265,135
gpt-5,baseline_marker_strict,300,0.9933,0.0267,0.9733,8,292,2,298
gpt-5,baseline_nomarker_nonstrict,200,0.69,0.3,0.7,60,140,62,138
gpt-5,baseline_nomarker_strict,200,0.99,0.005,0.995,1,199,2,198
gpt-5,intervention_marker_nonstrict,500,0.274,0.348,0.652,174,326,363,137
gpt-5,intervention_marker_strict,100,1.0,0.12,0.88,12,88,0,100
gpt-5,intervention_nomarker_nonstrict,400,0.5375,0.365,0.635,146,254,185,215
gpt-5,intervention_nomarker_strict,300,1.0,0.0067,0.9933,2,298,0,300
gpt-5-mini,baseline_marker_nonstrict,500,0.256,0.44,0.56,220,280,372,128
gpt-5-mini,baseline_marker_strict,500,0.908,0.292,0.708,146,354,46,454
gpt-5-mini,baseline_nomarker_nonstrict,500,0.37,0.436,0.564,218,282,315,185
gpt-5-mini,baseline_nomarker_strict,500,0.92,0.284,0.716,142,358,40,460
gpt-5-mini,intervention_marker_nonstrict,500,0.27,0.4,0.6,200,300,365,135
gpt-5-mini,intervention_marker_strict,500,0.928,0.252,0.748,126,374,36,464
gpt-5-mini,intervention_nomarker_nonstrict,500,0.322,0.39,0.61,195,305,339,161
gpt-5-mini,intervention_nomarker_strict,500,0.908,0.252,0.748,126,374,46,454
gpt-5.4-mini,baseline_marker_nonstrict,300,0.91,0.1867,0.8133,56,244,27,273
gpt-5.4-mini,baseline_marker_strict,400,0.9925,0.0175,0.9825,7,393,3,397
gpt-5.4-mini,baseline_nomarker_nonstrict,400,0.965,0.1,0.9,40,360,14,386
gpt-5.4-mini,baseline_nomarker_strict,300,0.9867,0.0333,0.9667,10,290,4,296
gpt-5.4-mini,intervention_marker_nonstrict,400,0.9125,0.24,0.76,96,304,35,365
gpt-5.4-mini,intervention_marker_strict,500,0.996,0.096,0.904,48,452,2,498
gpt-5.4-mini,intervention_nomarker_nonstrict,400,0.8925,0.215,0.785,86,314,43,357
gpt-5.4-mini,intervention_nomarker_strict,400,1.0,0.1,0.9,40,360,0,400
kimi-k2.6,baseline_marker_nonstrict,412,0.9369,0.0728,0.9272,30,382,26,386
kimi-k2.6,baseline_marker_strict,320,0.9656,0.1781,0.8219,57,263,11,309
kimi-k2.6,baseline_nomarker_nonstrict,344,0.9215,0.0901,0.9099,31,313,27,317
kimi-k2.6,baseline_nomarker_strict,412,0.9631,0.3277,0.6723,135,277,15,391
kimi-k2.6,intervention_marker_nonstrict,348,0.9368,0.0345,0.9655,12,336,22,326
kimi-k2.6,intervention_marker_strict,295,0.9763,0.1399,0.8601,41,252,7,288
kimi-k2.6,intervention_nomarker_nonstrict,348,0.9167,0.0575,0.9425,20,328,29,319
kimi-k2.6,intervention_nomarker_strict,397,0.9564,0.3797,0.6203,150,245,17,373
meta-llama/llama-3.3-70b-instruct,baseline_marker_nonstrict,458,1.0,0.0,1.0,0,458,0,458
meta-llama/llama-3.3-70b-instruct,baseline_marker_strict,453,1.0,0.0,1.0,0,453,0,453
meta-llama/llama-3.3-70b-instruct,baseline_nomarker_nonstrict,478,0.9979,0.0042,0.9958,2,476,1,477
meta-llama/llama-3.3-70b-instruct,baseline_nomarker_strict,487,0.9795,0.0021,0.9979,1,486,10,477
meta-llama/llama-3.3-70b-instruct,intervention_marker_nonstrict,490,0.998,0.002,0.998,1,489,1,489
meta-llama/llama-3.3-70b-instruct,intervention_marker_strict,494,1.0,0.164,0.836,81,413,0,494
meta-llama/llama-3.3-70b-instruct,intervention_nomarker_nonstrict,496,1.0,0.0,1.0,0,496,0,496
meta-llama/llama-3.3-70b-instruct,intervention_nomarker_strict,488,0.9857,0.1639,0.8361,80,408,7,481
qwen/qwen3.6-max-preview,baseline_marker_nonstrict,400,0.7775,0.2525,0.7475,101,299,89,311
qwen/qwen3.6-max-preview,baseline_marker_strict,400,0.6975,0.41,0.59,164,236,121,279
qwen/qwen3.6-max-preview,baseline_nomarker_nonstrict,419,0.8115,0.2912,0.7088,122,297,79,340
qwen/qwen3.6-max-preview,baseline_nomarker_strict,409,0.7262,0.3839,0.6161,157,252,112,297
qwen/qwen3.6-max-preview,intervention_marker_nonstrict,496,0.7278,0.2762,0.7238,137,359,135,361
qwen/qwen3.6-max-preview,intervention_marker_strict,470,0.7362,0.2936,0.7064,138,332,124,346
qwen/qwen3.6-max-preview,intervention_nomarker_nonstrict,500,0.788,0.242,0.758,121,379,106,394
qwen/qwen3.6-max-preview,intervention_nomarker_strict,500,0.756,0.312,0.688,156,344,122,378
qwen/qwen3.6-plus,baseline_marker_nonstrict,496,0.4234,0.3206,0.6794,159,337,286,210
qwen/qwen3.6-plus,baseline_marker_strict,481,0.9231,0.2807,0.7193,135,346,37,444
qwen/qwen3.6-plus,baseline_nomarker_nonstrict,497,0.499,0.3078,0.6922,153,344,249,248
qwen/qwen3.6-plus,baseline_nomarker_strict,491,0.9267,0.3075,0.6925,151,340,36,455
qwen/qwen3.6-plus,intervention_marker_nonstrict,497,0.4205,0.2998,0.7002,149,348,288,209
qwen/qwen3.6-plus,intervention_marker_strict,499,0.9238,0.1743,0.8257,87,412,38,461
qwen/qwen3.6-plus,intervention_nomarker_nonstrict,500,0.52,0.296,0.704,148,352,240,260
qwen/qwen3.6-plus,intervention_nomarker_strict,500,0.876,0.216,0.784,108,392,62,438
x-ai/grok-4-fast,baseline_marker_nonstrict,443,0.9797,0.1919,0.8081,85,358,9,434
x-ai/grok-4-fast,baseline_marker_strict,437,0.9314,0.341,0.659,149,288,30,407
x-ai/grok-4-fast,baseline_nomarker_nonstrict,481,0.9813,0.1559,0.8441,75,406,9,472
x-ai/grok-4-fast,baseline_nomarker_strict,478,0.9477,0.3452,0.6548,165,313,25,453
x-ai/grok-4-fast,intervention_marker_nonstrict,492,0.9939,0.1972,0.8028,97,395,3,489
x-ai/grok-4-fast,intervention_marker_strict,487,0.9343,0.3717,0.6283,181,306,32,455
x-ai/grok-4-fast,intervention_nomarker_nonstrict,495,0.9838,0.1899,0.8101,94,401,8,487
x-ai/grok-4-fast,intervention_nomarker_strict,497,0.9557,0.3642,0.6358,181,316,22,475
x-ai/grok-4.20,baseline_marker_nonstrict,485,0.9938,0.0082,0.9918,4,481,3,482
x-ai/grok-4.20,baseline_marker_strict,461,0.9978,0.0,1.0,0,461,1,460
x-ai/grok-4.20,baseline_nomarker_nonstrict,498,0.992,0.01,0.99,5,493,4,494
x-ai/grok-4.20,baseline_nomarker_strict,499,1.0,0.0,1.0,0,499,0,499
x-ai/grok-4.20,intervention_marker_nonstrict,493,0.9878,0.0061,0.9939,3,490,6,487
x-ai/grok-4.20,intervention_marker_strict,497,0.998,0.004,0.996,2,495,1,496
x-ai/grok-4.20,intervention_nomarker_nonstrict,500,0.984,0.02,0.98,10,490,8,492
x-ai/grok-4.20,intervention_nomarker_strict,498,0.998,0.002,0.998,1,497,1,496
xiaomi/mimo-v2-pro,baseline_marker_nonstrict,500,0.914,0.146,0.854,73,427,43,457
xiaomi/mimo-v2-pro,baseline_marker_strict,476,0.9937,0.1261,0.8739,60,416,3,473
xiaomi/mimo-v2-pro,baseline_nomarker_nonstrict,500,0.898,0.1423,0.8577,71,428,51,449
xiaomi/mimo-v2-pro,baseline_nomarker_strict,500,0.97,0.13,0.87,65,435,15,485
xiaomi/mimo-v2-pro,intervention_marker_nonstrict,500,0.912,0.138,0.862,69,431,44,456
xiaomi/mimo-v2-pro,intervention_marker_strict,500,0.996,0.148,0.852,74,426,2,498
xiaomi/mimo-v2-pro,intervention_nomarker_nonstrict,500,0.898,0.12,0.88,60,440,51,449
xiaomi/mimo-v2-pro,intervention_nomarker_strict,500,0.972,0.132,0.868,66,434,14,486
xiaomi/mimo-v2.5-pro,baseline_marker_nonstrict,500,0.8697,0.238,0.762,119,381,65,434
xiaomi/mimo-v2.5-pro,baseline_marker_strict,451,0.969,0.2705,0.7295,122,329,14,437
xiaomi/mimo-v2.5-pro,baseline_nomarker_nonstrict,500,0.814,0.27,0.73,135,365,93,407
xiaomi/mimo-v2.5-pro,baseline_nomarker_strict,500,0.876,0.2826,0.7174,141,358,62,438
xiaomi/mimo-v2.5-pro,intervention_marker_nonstrict,500,0.852,0.236,0.764,118,382,74,426
xiaomi/mimo-v2.5-pro,intervention_marker_strict,500,0.962,0.238,0.762,119,381,19,481
xiaomi/mimo-v2.5-pro,intervention_nomarker_nonstrict,498,0.8273,0.2129,0.7871,106,392,86,412
xiaomi/mimo-v2.5-pro,intervention_nomarker_strict,500,0.89,0.242,0.758,121,379,55,445
z-ai/glm-4.7,baseline_marker_nonstrict,390,0.8538,0.0974,0.9026,38,352,57,333
z-ai/glm-4.7,baseline_marker_strict,393,0.9898,0.1476,0.8524,58,335,4,389
z-ai/glm-4.7,baseline_nomarker_nonstrict,482,0.8797,0.0851,0.9149,41,441,58,424
z-ai/glm-4.7,baseline_nomarker_strict,485,0.9814,0.132,0.868,64,421,9,476
z-ai/glm-4.7,intervention_marker_nonstrict,483,0.8675,0.0787,0.9213,38,445,64,419
z-ai/glm-4.7,intervention_marker_strict,486,0.9959,0.1008,0.8992,49,437,2,484
z-ai/glm-4.7,intervention_nomarker_nonstrict,389,0.8638,0.0591,0.9409,23,366,53,336
z-ai/glm-4.7,intervention_nomarker_strict,383,0.9765,0.1123,0.8877,43,340,9,374
z-ai/glm-5,baseline_marker_nonstrict,400,0.2475,0.7575,0.2425,303,97,301,99
z-ai/glm-5,baseline_marker_strict,400,0.71,0.6075,0.3925,243,157,116,284
z-ai/glm-5,baseline_nomarker_nonstrict,442,0.4005,0.7217,0.2783,319,123,265,177
z-ai/glm-5,baseline_nomarker_strict,415,0.8289,0.6096,0.3904,253,162,71,344
z-ai/glm-5,intervention_marker_nonstrict,496,0.3185,0.7641,0.2359,379,117,338,158
z-ai/glm-5,intervention_marker_strict,475,0.7705,0.5811,0.4189,276,199,109,366
z-ai/glm-5,intervention_nomarker_nonstrict,500,0.448,0.732,0.268,366,134,276,224
z-ai/glm-5,intervention_nomarker_strict,500,0.822,0.558,0.442,279,221,89,411
