model_id,n_rows,parse_rate,meets_§7.3,sensitivity,specificity,fp_rate,accuracy,n_baseline_yes,n_baseline_no,n_baseline_ab,n_intervn_yes,n_intervn_no,n_intervn_ab,stage2_b_pct,stage2_iv_pct,cost_total_usd
claude-haiku-4-5-20251001,4000,0.9994,True,0.9412,0.0055,0.9945,0.4733,22,3976,2,235,3762,3,0.0,0.0,2.0672
claude-sonnet-4-5,4000,0.8196,False,1.0,0.0003,0.9997,0.5246,1,3117,882,0,3439,561,0.0,0.0,2.1456
claude-sonnet-4-6,4000,0.9768,True,0.7029,0.3385,0.6615,0.5201,1327,2593,80,1157,2737,106,0.0,0.0,2.0802
deepseek-v4-flash,4000,1.0,True,0.9277,0.0542,0.9457,0.491,217,3783,0,289,3711,0,0.0,0.0,0.0596
deepseek-v4-pro,4000,0.955,True,0.8998,0.1032,0.8968,0.4996,396,3442,162,381,3421,198,0.0,0.0,0.1127
gemini-2.5-flash,3400,0.9928,True,0.5855,0.3011,0.6989,0.4435,1015,2356,29,1401,1979,20,0.0,0.0,0.3282
gemini-3-flash-preview,3500,0.9521,True,0.5208,0.4807,0.5193,0.501,1583,1710,207,1616,1756,128,0.0,0.0,0.6653
gemini-3.1-flash-lite-preview,4000,1.0,True,0.538,0.4093,0.5907,0.4736,1637,2363,0,1848,2152,0,0.0,0.0,0.3849
gemini-3.1-pro-preview,4000,0.999,True,0.495,0.4409,0.5591,0.468,1762,2234,4,2018,1978,4,0.0,0.0,12.8314
gpt-5,2400,1.0,True,0.6338,0.215,0.785,0.4244,516,1884,0,879,1521,0,0.0,0.0,3.8407
gpt-5-mini,4000,1.0,True,0.6102,0.3432,0.6567,0.4768,1373,2627,0,1559,2441,0,0.0,0.0,0.9926
gpt-5.4-mini,3100,1.0,True,0.9587,0.1235,0.8765,0.5411,383,2717,0,128,2972,0,0.0,0.0,2.0537
kimi-k2.6,2876,0.997,True,0.9462,0.1657,0.8343,0.5554,476,2396,4,154,2709,13,0.0,0.0,1.7496
meta-llama/llama-3.3-70b-instruct,3844,1.0,True,0.9951,0.0429,0.9571,0.519,165,3679,0,19,3825,0,0.0,0.0,3.1892
qwen/qwen3.6-max-preview,3594,1.0,True,0.7529,0.305,0.695,0.5289,1096,2498,0,888,2706,0,0.08,0.06,4.7402
qwen/qwen3.6-plus,3961,1.0,True,0.688,0.2752,0.7248,0.4816,1090,2871,0,1236,2725,0,0.03,0.0,1.6287
x-ai/grok-4-fast,3810,1.0,True,0.9638,0.2696,0.7304,0.6167,1027,2783,0,138,3672,0,1.84,1.05,0.6288
x-ai/grok-4.20,3931,0.9999,True,0.9939,0.0064,0.9936,0.5001,25,3906,0,24,3906,1,0.0,0.0,3.4489
xiaomi/mimo-v2-pro,3976,0.9999,True,0.9439,0.1353,0.8647,0.5397,538,3437,1,223,3753,0,0.38,0.5,2.9585
xiaomi/mimo-v2.5-pro,3949,0.9997,True,0.8815,0.2485,0.7515,0.565,981,2967,1,468,3480,1,0.33,0.35,2.5991
z-ai/glm-4.7,3491,1.0,True,0.9267,0.1014,0.8986,0.514,354,3137,0,256,3235,0,0.0,0.0,9.1345
z-ai/glm-5,3628,1.0,True,0.5686,0.6665,0.3335,0.6176,2418,1210,0,1565,2063,0,0.0,0.0,1.7019
